"champion","matchduration","kills","deaths","assists","goldearned","killingsprees","physicaldamagedealttochampions","magicdamagedealttochampions","physicaldamagetaken","magicdamagetaken","truedamagedealttochampions","truedamagetaken","wardsplaced","wardskilled","minionskilled","neutralminionskilled"
"Darius",2016.61250166128,7.49661099543703,6.99654454436716,6.80463385460506,11783.0813361095,1.74097372967705,16689.7339299163,254.606343862136,22001.4211225801,12486.1488060958,3268.89031143401,1616.51331236433,8.06600806272981,0.602932707216586,169.968590794312,7.65436583528995
"Diana",2001.76844879063,8.2379576690157,6.63630649469956,7.37257793518597,12398.7386768848,1.92093461784864,1904.48411077131,19024.7803309601,13143.8297574007,7798.79326475601,576.222159097777,848.360502363137,8.16602400609218,1.23627748431626,119.456164102068,42.1350554219198
"Draven",1998.46114468845,8.07637708902415,6.52543393629148,7.38792936571097,13514.1671864582,1.86767900544168,23026.1335900028,502.981481083174,12179.2621254813,7573.12393263502,287.949476265244,702.353709160519,5.14199987094831,0.775170455767535,181.87525003764,11.1487965930355
"Dr. Mundo",2053.90101229212,4.72769342010123,5.73073029645698,8.90708604483008,11174.3066522054,1.09182935647144,4082.29175704989,15973.1567606652,23245.1412147505,11911.8716558207,291.223065798988,1970.04743311641,7.99775849602314,0.661677512653651,149.998698481562,11.2297180043384
"Ekko",2029.58516822661,7.08103831391825,6.46256144367383,8.46101272641573,11682.6667901151,1.68103158036496,2815.65053980652,15064.2970843714,17655.2669966108,9588.84931429982,593.326869122169,995.906661728728,8.09241801898862,1.4028572711153,106.356193746773,33.9786995264067
"Elise",1994.24334570853,6.80485464384596,6.28652781273597,8.41119745784042,11538.1057292978,1.63030140951422,1540.50913981878,14745.7298955449,16157.8239994966,8327.34215328467,659.98481940599,787.495610999245,8.38377800151019,2.52712056380569,43.5026271079789,63.8516706519003
"Evelynn",1988.52655035918,7.62767922591995,6.11652250403167,9.60756487318575,11893.2638616039,1.77261398621903,5865.05283682744,11598.5604456825,18916.5577188096,7780.94437765724,1248.53936372966,907.051634657675,8.81891218296438,1.51306260079167,45.343527342032,64.4059815276352
"Ezreal",2062.12230990923,7.69884450669324,5.55930993616505,9.09027123117946,12479.6513723166,1.77440945942306,17323.6682198939,9041.85161742128,11809.5909849974,7551.94614431546,424.500929242869,645.895682387481,6.02483367899372,0.816050313787809,180.08439949363,8.61650550812077
"Fiddlesticks",2028.37481302087,5.29496402877698,6.62661158202151,9.79364627110193,10889.2234489636,1.23634161977349,452.489849704395,16508.4178360282,19280.976351592,8295.61022864876,475.284493197521,640.90811311347,9.03319324738229,2.15186266828122,53.1641854832965,47.3218890234347
"Fiora",1983.48613845994,7.2046844232563,6.73546481500674,6.21338998859985,11825.9386983107,1.66734894807752,14786.8621877915,1051.41012021971,19848.8093325733,9484.11265416105,4210.74248626801,1027.38125712509,7.75673644937299,0.637604933153695,173.276557156182,10.2740180329568
"Fizz",2031.06326717263,9.50955505992972,6.98801405580604,6.58909230942028,11821.2969529708,2.22726762190524,3371.72469232867,16078.6039182966,12512.0464194599,9264.85236590023,824.90648717167,892.194149832325,7.85613657879114,0.891789547999936,124.69170290262,16.8092838919821
"Galio",2038.26513115803,4.99334612923864,6.04555342290467,11.9108125399872,11373.8339091491,1.1531669865643,839.499040307102,20044.6921305182,15907.8135636596,9280.52821497121,363.613947536788,1187.88278950736,9.38682021753039,0.690850927703135,151.763787587972,5.49545745361484
"Gangplank",2057.05859909819,6.36512167071323,5.55661841216525,8.41519560415488,13715.9830774567,1.4730279851768,14852.2373719856,5759.80476094854,16582.7600540353,9306.75915953194,2907.03105204549,924.390459847752,7.86593402581281,0.613738841526863,208.146753317877,7.80313623833951
"Garen",2028.25606731283,7.18301152407845,5.36443944134931,6.29792795543005,11848.4374189117,1.65702510875372,15161.4920628864,3089.42558955964,20761.1813897581,10638.7678585057,2172.05061817904,1778.5217507441,8.16971304281462,0.712317789819125,177.202758910173,6.23446920552545
"Gnar",2027.97259492304,5.4009900990099,6.04187100953086,8.53980444773449,11296.7094321582,1.26311649856574,17239.5966348971,3594.92375312298,17060.4182320101,10203.1962462601,175.609419820487,1297.98969803522,8.27022608802936,0.694719471947195,166.620986397705,5.38097220937047
"Gragas",2024.23382824253,4.1740139969913,5.38504807377853,10.8251030152397,10644.4913009353,0.968899208581333,1858.95307083524,11487.9586630911,21797.009778272,9886.59591863431,441.214369808359,1178.34351494539,9.44613774609196,2.19085617110341,49.4480999411341,52.9532997579959
"Graves",2027.02870007688,7.67941208771095,5.84306475820917,7.82845846908519,12781.6450744957,1.79013068785006,20360.3399348391,1403.4085551122,12337.3642786543,7331.41058681407,306.829190613903,723.086008712523,6.09746677892887,1.00779734231431,197.386901929202,10.8920818537907
"Hecarim",2011.76392083072,6.7701233535438,5.70977071572932,9.0164819848073,12021.1281970869,1.57035333472716,12894.7753850443,3823.86354449787,23447.5329988152,10332.1402885218,1041.39807652101,1321.63450414663,8.15900062722141,1.1926963551467,106.428566450624,44.0037981740888
"Heimerdinger",2061.45423820993,5.58554113899464,6.45520938544014,7.82410069147696,11731.2906922539,1.30522103954627,1375.64027659079,25731.6371688292,9350.18798073188,9038.05830937767,324.341348768549,660.683901794732,8.39930852303628,0.542420946313418,177.824217232538,4.42183979488773
"Irelia",1995.97650020137,7.28330648409182,5.81341119613371,6.90372533225936,11840.7387031816,1.6745871929118,13453.1049536851,2931.65881997584,19402.0600684656,9974.00193314539,2942.75565847765,1260.06691502215,8.25358437374144,0.719774466371325,173.356786145791,8.09434152235199
"Janna",1993.66577575839,0.935854603768542,4.39548903440391,15.5270019451497,9111.29028761489,0.134809271385511,1407.30476487446,3240.35854603769,8683.44555807979,7075.15736409937,60.6627615187017,459.3801505635,25.4549571621602,3.54945283383076,13.6984572438267,0.236610390960251
"Jarvan IV",2000.99282839371,5.96663007683864,6.15870228076595,12.0176119038907,11706.6990852543,1.38412001463593,13346.5949506037,1711.52377119161,18822.0551286742,8656.99068179046,711.201414806684,1066.24964020002,8.10474448103427,1.70459812172216,90.4172703988291,41.817050859861
"Jax",2032.41651622029,7.04591561354203,6.83701539206015,6.29365891790281,12132.5594557874,1.66055575201474,12621.1510171416,4969.03681438329,18148.327383722,8741.80435146755,635.827839714121,1126.22423644587,8.44067449608219,0.946062647732137,124.445550819855,37.2110219806808
"Jayce",2032.85084852957,7.36144197322652,6.4041319700643,7.8453146410878,12099.1518393591,1.72188257615685,20171.7458627596,4005.60693580689,13054.8669758617,8656.40191841467,376.680562875514,867.063560661958,8.34789712237799,0.8077369031306,176.433435227153,8.75281964793929
"Jinx",2008.45352646075,7.74382746409601,6.15797265394452,8.35893173322841,12758.7608302184,1.79541609285855,21037.2009197324,1606.24523903207,11135.5967932323,7073.45132303758,319.965271493213,615.137482785756,5.82669191422388,0.957249655715129,192.162772968719,11.4778624827858
"Kalista",1970.22350745716,7.7209378100979,6.53984804277315,7.58672373702217,12248.2413839068,1.78622313719101,19142.1075845318,1483.24877441905,13125.1012751966,7417.16928568255,470.514270057317,688.782890741865,5.01537345043617,1.03961847776182,181.762155837616,12.1847776181519
"Karma",2059.77318228429,3.71326724937741,6,12.3326334293667,10321.556374823,0.814053420577177,1434.49016065238,15850.9645490502,9608.75667757215,7570.70901899507,328.050588407637,566.190683138825,17.5221446359686,1.91938082914205,75.3733580741247,3.05107671273011
"Karthus",2064.75996177735,8.16072623029145,7.80315336837076,9.9911132345915,12809.2116579073,1.98279980888677,376.771333014811,30772.930339226,11978.5621595796,10584.8071667463,228.529479216436,781.340372670807,7.47797419971333,0.568848542761586,176.250071667463,13.3225035833731
"Kassadin",1986.56523034746,7.8611359437392,6.18469515465761,7.27152988855117,11335.8043387568,1.79522021574587,1870.27558257345,18197.7494487157,15121.3500208594,8849.86685738125,530.72107992133,1006.37767447404,7.79128672745694,0.717146433041302,148.732761189582,6.43453125931224
"Katarina",2016.15134078418,9.34805060676478,7.1096234000959,7.70403157389989,11912.3254398584,2.14038582125337,1051.65124857069,21305.5197890155,10689.3902106156,8575.29275939655,662.969200693445,842.842093615138,9.123123455424,0.593190955700638,156.540703035668,3.50248976430231
"Kayle",2015.83163265306,5.51454771097628,6.15995587424159,8.73035024820739,11797.0373690017,1.28357694429123,4156.72869553227,12615.6905681191,15482.8613485935,9253.79943463872,560.828805846663,717.540540540541,9.20208218422504,1.01571980143409,140.954633204633,26.2984693877551
"Kennen",2022.88425671969,5.8171055037484,6.23061802889011,8.53286706893399,10962.4228378131,1.35774364600475,2668.86396050466,19272.2014079356,10848.7061162918,8580.17567196928,308.523861766319,777.780444322545,10.3294477966722,1.14289632473944,140.058420186506,3.11656609983544
"Kha'Zix",2018.54537822181,8.41587608093359,6.31903282679876,6.69801024263286,12290.4116363026,1.95348837209302,16569.0855931492,1039.39572663924,22133.832927546,7884.23973637814,707.339266224498,846.384980270338,7.54105448744858,1.9608345227101,57.1214843422047,68.7744102090505
"Kog'Maw",2083.57544549873,7.60304327701921,6.2249479287202,8.65037028465633,12504.1862994677,1.76857208979403,10461.433117334,15194.3079726915,12960.1771580653,8453.59453830132,2305.13156676695,720.49386716038,6.29049988428604,0.91743809303402,178.379541772738,10.0428141633881
"LeBlanc",2031.7869791393,8.73466099171527,5.95160527560296,6.89044191056697,11419.9634981521,1.99043665598234,1379.22785630463,19175.4034294922,9793.348711751,8864.694008022,713.47797453278,692.57523689419,8.50766293591158,0.951903035398385,140.783353475908,5.52784054087191
"Lee Sin",2002.45378973105,7.03176474528586,6.43904611983789,9.49792678433868,11483.2036842282,1.65156579696554,12584.1216867066,2366.89260140001,20387.8160230432,8701.54285427203,824.569032387715,955.436031751348,17.9180627658506,2.11159192149245,52.2614462270154,56.1097632046086
"Leona",2032.6585271828,2.17651428249055,6.25034319348591,14.3278955187393,9011.5055569137,0.394004926942099,2770.71338172518,6101.69213193674,15130.3952272599,9399.49244974331,188.894700716475,1033.61871673844,21.5717885552024,2.46555841811309,43.0677266487391,0.634964364292833
"Lissandra",2021.24199115522,5.74129004422392,6.35438464027613,9.45297163197066,11780.4243339446,1.33734225002697,1219.54406212922,19635.3858267717,11378.6160608349,9896.46521410851,410.060133750404,815.374015748032,9.07086614173228,0.801154136554848,183.141192967317,5.73400927623773
"Lucian",2025.46419949523,7.40855097114013,6.0910512454735,7.68044277405904,12819.0100406013,1.73935586524745,19928.142625919,1808.2957588061,12438.0655656754,7467.80924229123,252.064152858554,653.678920223856,6.00702293426972,1.03250850433447,201.441964775595,11.0754279600571
"Lulu",1991.0960462514,2.89535621036927,5.42389033942559,12.5353599403208,10080.5687430063,0.622734054457292,1841.12444983215,10146.6535807535,9809.96551659828,7756.0871689668,209.447706079821,586.302051473331,16.8613763521074,2.03086534875047,90.6450205147333,2.62431928384931
"Lux",2067.3682827405,6.62786847931798,5.29820804105366,11.1442568336541,11554.5386223022,1.49083328160242,1481.75288141205,22042.5974920852,7525.32552196495,6543.05447265504,307.419817079479,517.546692325201,10.7072237051752,0.887443871955636,137.515581352039,4.7235396362282
"Malphite",2036.41900371078,4.79299449004835,4.9291015405375,10.6935904644102,10880.1040481277,1.12044304509165,3397.47075227707,13894.4365118633,12455.1723153042,8443.73090070842,227.709288204206,1289.48858652873,9.72741482064545,0.963105813561228,122.627099966266,13.2777915214213
"Malzahar",2059.36944149443,7.03529123437628,6.02902812951012,8.16463796530785,12145.4579963511,1.65817062876127,2991.28791220761,21716.7502110394,9727.65266998883,9432.02249271574,676.14889851047,736.823189826539,9.76382648476432,0.697246956947962,176.383274786918,8.64172317076492
"Maokai",2028.52441201979,3.9537778684761,6.01474414570685,11.3714606397633,10710.3978878629,0.890056629763788,2005.4775266568,14202.2721799908,19582.2310596398,11145.1839191878,172.805265037498,1468.59359216367,8.88123054946176,1.02811081067292,119.26212948319,17.872710575991
"Master Yi",2020.65814370769,8.80738384579833,7.55412826577495,5.8214528450643,13248.9175434304,2.08498491150803,13964.5527689422,1853.66261588234,21595.4360438246,8158.58574613272,3508.0747492048,902.711864176386,7.38008047195715,1.34332436179757,82.1304270994753,74.3156485332898
